TeamID,Teamname,StudentA,StudentB
JusticeLeague,Ortnerstruktur,malichri16,ortnerth16
Manser-Junro,Fleischhammer,arneitzj15,steinerm15
supersmashbros,Die pinke Bedrohung,weilands16,qerimiar16
hB,HyperBrecht,lambrech16,leifertv15
justice,For Justice,rauchens16,lachchri16
SuEli,the team of Sue & Eli,huetters16,krnavkov16
dasTeam,DasDasTeam,horinaal15,davidluk15

// -- do not enter anything below this line
// -- as a reminder: available student id's
arneitzj15
davidluk15
derlermi16
fernbach16
heiderst16
hoedlale16
lambrech16
leifertv15
qerimiar16
steinerm15
weilands16

huetters16
krassers16
krnavkov16
lachchri16
malichri16
neumannn16
ortnerth16
rauchens16
rinnhofe15
ruggenth15
spiessni15

brunnemi16
gartnerf15
grainerm15
horinaal15
hutterma14
paggerdo16
puetzlma16
reichelt16
schmitze16
staudach16
wachterf16
wallnerb15

jillings16
